Brand,Model,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026
SAMSUNG,Galaxy S24,,,,,,,,,,,,,
SAMSUNG,Galaxy A54,,,,,,,,,,,,,
SAMSUNG,Galaxy A14,,,,,,,,,,,,,
Redmi,Note 13 Pro,,,,,,,,,,,,,
Redmi,Note 12,,,,,,,,,,,,,
Redmi,Redmi 12C,,,,,,,,,,,,,
Vivo,V30 5G,,,,,,,,,,,,,
Vivo,Y27,,,,,,,,,,,,,
Infinix,Note 40 Pro,,,,,,,,,,,,,
Infinix,Hot 40i,,,,,,,,,,,,,
Honor,Honor X9b,,,,,,,,,,,,,
Honor,Magic 6 Pro,,,,,,,,,,,,,
ZTE,Blade V50,,,,,,,,,,,,,
Nokia,G42 5G,,,,,,,,,,,,,
TCL,TCL 40 SE,,,,,,,,,,,,,
ALCATEL,1B (2022),,,,,,,,,,,,,
Blackview,BV9300,,,,,,,,,,,,,
umidigi,BISON GT2,,,,,,,,,,,,,
greentel,Max 4G,,,,,,,,,,,,,
KXD,A10,,,,,,,,,,,,,
BTS,Smart One,,,,,,,,,,,,,
Pluz,Pluz P10,,,,,,,,,,,,,
Ajmal,Ajmal Star 5G,,,,,,,,,,,,,
